Fecha,CCAA,Tipo_Producto,Producto_slug,Consumo_Tm
2023-01,Extremadura,GASÓLEO C,GasoleoC,2130
2023-01,Extremadura,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,6791
2023-01,Extremadura,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,187
2023-01,Extremadura,OTRAS GASOLINAS,OtrasGasolinas,1
2023-01,Extremadura,OTROS FUELÓLEOS,OtrosFueloleos,0
2023-01,Extremadura,OTROS GASOLEOS,OtrosGasoleos,0
2023-01,Extremadura,OTROS QUEROSENOS,OtrosQueroseno,0
2023-01,Extremadura,QUEROSENO AVIACIÓN,QuerosenoAviacion,49
2023-01,Galicia,BIODIESEL,Biodiesel,0
2023-01,Galicia,BIOETANOL,Bioetanol,0
2023-01,Galicia,FUELÓLEO  BIA,Fueloleo_BIA,13729
2023-01,Galicia,GLP,GLP,12933
2023-01,Galicia,GASÓLEO A,GasoleoA,94526
2023-01,Galicia,GASÓLEO B,GasoleoB,18741
2023-01,Galicia,GASÓLEO C,GasoleoC,21054
2023-01,Galicia,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,17363
2023-01,Galicia,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,734
2023-01,Galicia,OTRAS GASOLINAS,OtrasGasolinas,4
2023-01,Galicia,OTROS FUELÓLEOS,OtrosFueloleos,2603
2023-01,Galicia,OTROS GASOLEOS,OtrosGasoleos,11536
2023-01,Galicia,OTROS QUEROSENOS,OtrosQueroseno,0
2023-01,Galicia,QUEROSENO AVIACIÓN,QuerosenoAviacion,4360
2023-01,"Madrid, Comunidad de",BIODIESEL,Biodiesel,26
2023-01,"Madrid, Comunidad de",BIOETANOL,Bioetanol,0
2023-01,"Madrid, Comunidad de",FUELÓLEO  BIA,Fueloleo_BIA,230
2023-01,"Madrid, Comunidad de",GLP,GLP,13985
2023-01,"Madrid, Comunidad de",GASÓLEO A,GasoleoA,135631
2023-01,"Madrid, Comunidad de",GASÓLEO B,GasoleoB,20336
2023-01,"Madrid, Comunidad de",GASÓLEO C,GasoleoC,17571
2023-01,"Madrid, Comunidad de",GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,53184
2023-01,"Madrid, Comunidad de",GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,1731
2023-01,"Madrid, Comunidad de",OTRAS GASOLINAS,OtrasGasolinas,50
2023-01,"Madrid, Comunidad de",OTROS FUELÓLEOS,OtrosFueloleos,38
2023-01,"Madrid, Comunidad de",OTROS GASOLEOS,OtrosGasoleos,0
2023-01,"Madrid, Comunidad de",OTROS QUEROSENOS,OtrosQueroseno,0
2023-01,"Madrid, Comunidad de",QUEROSENO AVIACIÓN,QuerosenoAviacion,176030
2023-01,Melilla,BIODIESEL,Biodiesel,0
2023-01,Melilla,BIOETANOL,Bioetanol,0
2023-01,Melilla,FUELÓLEO  BIA,Fueloleo_BIA,2330
2023-01,Melilla,GLP,GLP,227
2023-01,Melilla,GASÓLEO A,GasoleoA,1042
2023-01,Melilla,GASÓLEO B,GasoleoB,0
2023-01,Melilla,GASÓLEO C,GasoleoC,0
2023-01,Melilla,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,474
2023-01,Melilla,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,0
2023-01,Melilla,OTRAS GASOLINAS,OtrasGasolinas,0
2023-01,Melilla,OTROS FUELÓLEOS,OtrosFueloleos,0
2023-01,Melilla,OTROS GASOLEOS,OtrosGasoleos,0
2023-01,Melilla,OTROS QUEROSENOS,OtrosQueroseno,0
2023-01,Melilla,QUEROSENO AVIACIÓN,QuerosenoAviacion,133
2023-01,"Murcia, Región de",BIODIESEL,Biodiesel,0
2023-01,"Murcia, Región de",BIOETANOL,Bioetanol,0
2023-01,"Murcia, Región de",FUELÓLEO  BIA,Fueloleo_BIA,421
2023-01,"Murcia, Región de",GLP,GLP,5330
2023-01,"Murcia, Región de",GASÓLEO A,GasoleoA,65694
2023-01,"Murcia, Región de",GASÓLEO B,GasoleoB,11571
2023-01,"Murcia, Región de",GASÓLEO C,GasoleoC,910
2023-01,"Murcia, Región de",GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,10265
2023-01,"Murcia, Región de",GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,388
2023-01,"Murcia, Región de",OTRAS GASOLINAS,OtrasGasolinas,0
2023-01,"Murcia, Región de",OTROS FUELÓLEOS,OtrosFueloleos,204
2023-01,"Murcia, Región de",OTROS GASOLEOS,OtrosGasoleos,1116
2023-01,"Murcia, Región de",OTROS QUEROSENOS,OtrosQueroseno,0
2023-01,"Murcia, Región de",QUEROSENO AVIACIÓN,QuerosenoAviacion,415
2023-01,"Navarra, Comunidad Foral de",BIODIESEL,Biodiesel,0
2023-01,"Navarra, Comunidad Foral de",BIOETANOL,Bioetanol,0
2023-01,"Navarra, Comunidad Foral de",FUELÓLEO  BIA,Fueloleo_BIA,227
2023-01,"Navarra, Comunidad Foral de",GLP,GLP,3720
2023-01,"Navarra, Comunidad Foral de",GASÓLEO A,GasoleoA,47704
2023-01,"Navarra, Comunidad Foral de",GASÓLEO B,GasoleoB,7874
2023-01,"Navarra, Comunidad Foral de",GASÓLEO C,GasoleoC,908
2023-01,"Navarra, Comunidad Foral de",GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,4797
2023-01,"Navarra, Comunidad Foral de",GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,133
2023-01,"Navarra, Comunidad Foral de",OTRAS GASOLINAS,OtrasGasolinas,1
2023-01,"Navarra, Comunidad Foral de",OTROS FUELÓLEOS,OtrosFueloleos,0
2023-01,"Navarra, Comunidad Foral de",OTROS GASOLEOS,OtrosGasoleos,0
2023-01,"Navarra, Comunidad Foral de",OTROS QUEROSENOS,OtrosQueroseno,0
2023-01,"Navarra, Comunidad Foral de",QUEROSENO AVIACIÓN,QuerosenoAviacion,63
2023-01,País Vasco,BIODIESEL,Biodiesel,4
2023-01,País Vasco,BIOETANOL,Bioetanol,0
2023-01,País Vasco,FUELÓLEO  BIA,Fueloleo_BIA,733
2023-01,País Vasco,GLP,GLP,7044
2023-01,País Vasco,GASÓLEO A,GasoleoA,119752
2023-01,País Vasco,GASÓLEO B,GasoleoB,14602
2023-01,País Vasco,GASÓLEO C,GasoleoC,7499
