Fecha,CCAA,Provincia,Tipo_Producto,Producto_slug,Consumo_Tm,source_file
2023-01,Aragón,Teruel,OTROS FUELÓLEOS,OtrosFueloleos,0,ds_14200_1.csv
2023-01,Aragón,Teruel,OTROS GASOLEOS,OtrosGasoleos,0,ds_14200_1.csv
2023-01,Aragón,Teruel,OTROS QUEROSENOS,OtrosQueroseno,1,ds_14200_1.csv
2023-01,Aragón,Teruel,QUEROSENO AVIACIÓN,QuerosenoAviacion,27,ds_14200_1.csv
2023-01,Aragón,Zaragoza,BIODIESEL,Biodiesel,0,ds_14200_1.csv
2023-01,Aragón,Zaragoza,BIOETANOL,Bioetanol,0,ds_14200_1.csv
2023-01,Aragón,Zaragoza,FUELÓLEO  BIA,Fueloleo_BIA,401,ds_14200_1.csv
2023-01,Aragón,Zaragoza,GLP,GLP,2847,ds_14200_1.csv
2023-01,Aragón,Zaragoza,GASÓLEO A,GasoleoA,37136,ds_14200_1.csv
2023-01,Aragón,Zaragoza,GASÓLEO B,GasoleoB,9411,ds_14200_1.csv
2023-01,Aragón,Zaragoza,GASÓLEO C,GasoleoC,8169,ds_14200_1.csv
2023-01,Aragón,Zaragoza,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,6749,ds_14200_1.csv
2023-01,Aragón,Zaragoza,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,168,ds_14200_1.csv
2023-01,Aragón,Zaragoza,OTRAS GASOLINAS,OtrasGasolinas,1,ds_14200_1.csv
2023-01,Aragón,Zaragoza,OTROS FUELÓLEOS,OtrosFueloleos,0,ds_14200_1.csv
2023-01,Aragón,Zaragoza,OTROS GASOLEOS,OtrosGasoleos,17,ds_14200_1.csv
2023-01,Aragón,Zaragoza,OTROS QUEROSENOS,OtrosQueroseno,0,ds_14200_1.csv
2023-01,Aragón,Zaragoza,QUEROSENO AVIACIÓN,QuerosenoAviacion,5228,ds_14200_1.csv
2023-01,"Asturias, Principado de",Asturias,BIODIESEL,Biodiesel,0,ds_14200_1.csv
2023-01,"Asturias, Principado de",Asturias,BIOETANOL,Bioetanol,0,ds_14200_1.csv
2023-01,"Asturias, Principado de",Asturias,FUELÓLEO  BIA,Fueloleo_BIA,7370,ds_14200_1.csv
2023-01,"Asturias, Principado de",Asturias,GLP,GLP,3208,ds_14200_1.csv
2023-01,"Asturias, Principado de",Asturias,GASÓLEO A,GasoleoA,28805,ds_14200_1.csv
2023-01,"Asturias, Principado de",Asturias,GASÓLEO B,GasoleoB,6562,ds_14200_1.csv
2023-01,"Asturias, Principado de",Asturias,GASÓLEO C,GasoleoC,3702,ds_14200_1.csv
2023-01,"Asturias, Principado de",Asturias,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,6378,ds_14200_1.csv
2023-01,"Asturias, Principado de",Asturias,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,330,ds_14200_1.csv
2023-01,"Asturias, Principado de",Asturias,OTRAS GASOLINAS,OtrasGasolinas,3,ds_14200_1.csv
2023-01,"Asturias, Principado de",Asturias,OTROS FUELÓLEOS,OtrosFueloleos,481,ds_14200_1.csv
2023-01,"Asturias, Principado de",Asturias,OTROS GASOLEOS,OtrosGasoleos,3926,ds_14200_1.csv
2023-01,"Asturias, Principado de",Asturias,OTROS QUEROSENOS,OtrosQueroseno,0,ds_14200_1.csv
2023-01,"Asturias, Principado de",Asturias,QUEROSENO AVIACIÓN,QuerosenoAviacion,1133,ds_14200_1.csv
2023-01,"Balears, Illes","Balears, Illes",BIODIESEL,Biodiesel,0,ds_14200_1.csv
2023-01,"Balears, Illes","Balears, Illes",BIOETANOL,Bioetanol,0,ds_14200_1.csv
2023-01,"Balears, Illes","Balears, Illes",FUELÓLEO  BIA,Fueloleo_BIA,25,ds_14200_1.csv
2023-01,"Balears, Illes","Balears, Illes",GLP,GLP,4545,ds_14200_1.csv
2023-01,"Balears, Illes","Balears, Illes",GASÓLEO A,GasoleoA,19729,ds_14200_1.csv
2023-01,"Balears, Illes","Balears, Illes",GASÓLEO B,GasoleoB,4459,ds_14200_1.csv
2023-01,"Balears, Illes","Balears, Illes",GASÓLEO C,GasoleoC,19160,ds_14200_1.csv
2023-01,"Balears, Illes","Balears, Illes",GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,12625,ds_14200_1.csv
2023-01,"Balears, Illes","Balears, Illes",GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,547,ds_14200_1.csv
2023-01,"Balears, Illes","Balears, Illes",OTRAS GASOLINAS,OtrasGasolinas,13,ds_14200_1.csv
2023-01,"Balears, Illes","Balears, Illes",OTROS FUELÓLEOS,OtrosFueloleos,0,ds_14200_1.csv
2023-01,"Balears, Illes","Balears, Illes",OTROS GASOLEOS,OtrosGasoleos,1844,ds_14200_1.csv
2023-01,"Balears, Illes","Balears, Illes",OTROS QUEROSENOS,OtrosQueroseno,0,ds_14200_1.csv
2023-01,"Balears, Illes","Balears, Illes",QUEROSENO AVIACIÓN,QuerosenoAviacion,12237,ds_14200_1.csv
2023-01,Canarias,"Palmas, Las",BIODIESEL,Biodiesel,0,ds_14200_1.csv
2023-01,Canarias,"Palmas, Las",BIOETANOL,Bioetanol,0,ds_14200_1.csv
2023-01,Canarias,"Palmas, Las",FUELÓLEO  BIA,Fueloleo_BIA,40376,ds_14200_1.csv
2023-01,Canarias,"Palmas, Las",GLP,GLP,3439,ds_14200_1.csv
2023-01,Canarias,"Palmas, Las",GASÓLEO A,GasoleoA,25352,ds_14200_1.csv
2023-01,Canarias,"Palmas, Las",GASÓLEO B,GasoleoB,0,ds_14200_1.csv
2023-01,Canarias,"Palmas, Las",GASÓLEO C,GasoleoC,0,ds_14200_1.csv
2023-01,Canarias,"Palmas, Las",GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,17725,ds_14200_1.csv
2023-01,Canarias,"Palmas, Las",GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,2982,ds_14200_1.csv
2023-01,Canarias,"Palmas, Las",OTRAS GASOLINAS,OtrasGasolinas,6,ds_14200_1.csv
2023-01,Canarias,"Palmas, Las",OTROS FUELÓLEOS,OtrosFueloleos,74185,ds_14200_1.csv
2023-01,Canarias,"Palmas, Las",OTROS GASOLEOS,OtrosGasoleos,92105,ds_14200_1.csv
2023-01,Canarias,"Palmas, Las",OTROS QUEROSENOS,OtrosQueroseno,0,ds_14200_1.csv
2023-01,Canarias,"Palmas, Las",QUEROSENO AVIACIÓN,QuerosenoAviacion,53856,ds_14200_1.csv
2023-01,Canarias,Santa Cruz de Tenerife,BIODIESEL,Biodiesel,0,ds_14200_1.csv
2023-01,Canarias,Santa Cruz de Tenerife,BIOETANOL,Bioetanol,0,ds_14200_1.csv
2023-01,Canarias,Santa Cruz de Tenerife,FUELÓLEO  BIA,Fueloleo_BIA,23071,ds_14200_1.csv
2023-01,Canarias,Santa Cruz de Tenerife,GLP,GLP,4014,ds_14200_1.csv
2023-01,Canarias,Santa Cruz de Tenerife,GASÓLEO A,GasoleoA,24584,ds_14200_1.csv
2023-01,Canarias,Santa Cruz de Tenerife,GASÓLEO B,GasoleoB,0,ds_14200_1.csv
2023-01,Canarias,Santa Cruz de Tenerife,GASÓLEO C,GasoleoC,0,ds_14200_1.csv
2023-01,Canarias,Santa Cruz de Tenerife,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,16271,ds_14200_1.csv
2023-01,Canarias,Santa Cruz de Tenerife,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,4367,ds_14200_1.csv
