Fecha,CCAA,CNMC_Biodiesel_Tm,GasoleoA_Tm,DieselPool_Tm,Biodiesel_GasoleoA_Ratio,Biodiesel_DieselPool_Share
2023-07,Aragón,47.0,70725.0,93088.0,0.0006645457758925415,0.0005048985905809556
2023-07,"Asturias, Principado de",0.0,35760.0,45246.0,0.0,0.0
2023-07,"Balears, Illes",7.0,40841.0,65679.0,0.00017139639088171202,0.00010657896740206154
2023-07,Canarias,0.0,55669.0,186619.0,0.0,0.0
2023-07,Cantabria,0.0,25716.0,30743.0,0.0,0.0
2023-07,Castilla - La Mancha,0.0,105591.0,142917.0,0.0,0.0
2023-07,Castilla y León,0.0,156052.0,208846.0,0.0,0.0
2023-07,Cataluña,170.0,319217.0,390144.0,0.0005325530908441593,0.00043573654855643047
2023-07,Ceuta,0.0,1101.0,5255.0,0.0,0.0
2023-07,Comunitat Valenciana,0.0,182432.0,219782.0,0.0,0.0
2023-07,ESPAÑA,257.0,1932517.0,2575206.0,0.00013298718717610246,9.979784141540521e-05
2023-07,Extremadura,13.0,60302.0,71361.0,0.00021558157275048922,0.00018217233502893738
2023-07,Galicia,0.0,116670.0,154019.0,0.0,0.0
2023-07,"Madrid, Comunidad de",12.0,159358.0,171876.0,7.530214987637897e-05,6.981777560566921e-05
2023-07,Melilla,0.0,1237.0,1237.0,0.0,0.0
2023-07,"Murcia, Región de",0.0,89135.0,103478.0,0.0,0.0
2023-07,"Navarra, Comunidad Foral de",0.0,44222.0,50740.0,0.0,0.0
2023-07,País Vasco,8.0,147261.0,164248.0,5.43253135589192e-05,4.8706833568749694e-05
2023-07,"Rioja, La",0.0,13489.0,17444.0,0.0,0.0
2023-08,Andalucía,0.0,301542.0,400773.0,0.0,0.0
2023-08,Aragón,76.0,67283.0,84020.0,0.0011295572432858225,0.0009045465365389193
2023-08,"Asturias, Principado de",0.0,36596.0,46152.0,0.0,0.0
2023-08,"Balears, Illes",7.0,39944.0,70063.0,0.00017524534348087323,9.991008092716555e-05
2023-08,Canarias,0.0,54496.0,170706.0,0.0,0.0
2023-08,Cantabria,0.0,28076.0,32226.0,0.0,0.0
2023-08,Castilla - La Mancha,0.0,102239.0,132278.0,0.0,0.0
2023-08,Castilla y León,0.0,148323.0,183638.0,0.0,0.0
2023-08,Cataluña,169.0,283692.0,328108.0,0.000595716481254318,0.0005150743048020774
2023-08,Ceuta,0.0,1147.0,8027.0,0.0,0.0
2023-08,Comunitat Valenciana,0.0,161441.0,198482.0,0.0,0.0
2023-08,ESPAÑA,525.0,1788313.0,2307157.0,0.0002935727694201183,0.00022755278466094853
2023-08,Extremadura,0.0,58853.0,70149.0,0.0,0.0
2023-08,Galicia,0.0,118038.0,151569.0,0.0,0.0
2023-08,"Madrid, Comunidad de",92.0,132543.0,141902.0,0.0006941143628860068,0.0006483347662471283
2023-08,Melilla,0.0,1389.0,1389.0,0.0,0.0
2023-08,"Murcia, Región de",0.0,79827.0,92960.0,0.0,0.0
2023-08,"Navarra, Comunidad Foral de",0.0,40557.0,45660.0,0.0,0.0
2023-08,País Vasco,181.0,119979.0,134105.0,0.0015085973378674601,0.0013496886767831178
2023-08,"Rioja, La",0.0,12348.0,14950.0,0.0,0.0
2023-09,Andalucía,19.0,284714.0,391554.0,6.673363445422424e-05,4.852459686275712e-05
2023-09,Aragón,49.0,65338.0,88274.0,0.0007499464323976858,0.0005550898339261843
2023-09,"Asturias, Principado de",0.0,32349.0,41114.0,0.0,0.0
2023-09,"Balears, Illes",7.0,32686.0,53211.0,0.0002141589671418956,0.00013155174681926668
2023-09,Canarias,0.0,52979.0,171581.0,0.0,0.0
2023-09,Cantabria,0.0,24690.0,28771.0,0.0,0.0
2023-09,Castilla - La Mancha,4.0,99014.0,137925.0,4.039832750924112e-05,2.9001268805510242e-05
2023-09,Castilla y León,0.0,142563.0,195843.0,0.0,0.0
2023-09,Cataluña,109.0,304063.0,352928.0,0.0003584783416594587,0.0003088448635415722
2023-09,Ceuta,0.0,1036.0,8206.0,0.0,0.0
2023-09,Comunitat Valenciana,0.0,156903.0,202602.0,0.0,0.0
2023-09,ESPAÑA,389.0,1797665.0,2384967.0,0.00021639181938792822,0.00016310498216537167
2023-09,Extremadura,0.0,57130.0,68425.0,0.0,0.0
2023-09,Galicia,0.0,115169.0,157976.0,0.0,0.0
2023-09,"Madrid, Comunidad de",26.0,152310.0,167280.0,0.00017070448427549079,0.00015542802486848397
2023-09,Melilla,0.0,1065.0,1065.0,0.0,0.0
2023-09,"Murcia, Región de",0.0,78772.0,92381.0,0.0,0.0
2023-09,"Navarra, Comunidad Foral de",0.0,44042.0,51314.0,0.0,0.0
2023-09,País Vasco,175.0,139800.0,157821.0,0.001251788268955651,0.001108851166828242
2023-09,"Rioja, La",0.0,13042.0,16696.0,0.0,0.0
2023-10,Andalucía,43.0,288953.0,438285.0,0.00014881312877872873,9.81096774929555e-05
2023-10,Aragón,53.0,64530.0,92168.0,0.0008213234154656749,0.0005750368891589272
2023-10,"Asturias, Principado de",0.0,32891.0,43123.0,0.0,0.0
2023-10,"Balears, Illes",0.0,30075.0,49937.0,0.0,0.0
2023-10,Canarias,75.0,54832.0,230893.0,0.001367814414940181,0.0003248257851039226
2023-10,Cantabria,0.0,23654.0,28229.0,0.0,0.0
2023-10,Castilla - La Mancha,4.0,102025.0,149998.0,3.9206076941926e-05,2.6667022226963025e-05
2023-10,Castilla y León,25.0,142447.0,203721.0,0.00017550387161540784,0.00012271685295084944
2023-10,Cataluña,93.0,306355.0,380451.0,0.00030356938845457065,0.00024444672244257473
2023-10,Ceuta,0.0,973.0,7482.0,0.0,0.0
2023-10,Comunitat Valenciana,17.0,160928.0,195591.0,0.00010563730363889441,8.691606464510126e-05
2023-10,ESPAÑA,520.0,1820535.0,2560415.0,0.0002856303229545161,0.0002030920768703511
2023-10,Extremadura,16.0,57143.0,68893.0,0.00027999930000175,0.00023224420478132758
2023-10,Galicia,13.0,110293.0,158833.0,0.00011786786106099208,8.184697134726411e-05
2023-10,"Madrid, Comunidad de",129.0,156643.0,177996.0,0.0008235286607125757,0.0007247353873120745
2023-10,Melilla,0.0,1031.0,1031.0,0.0,0.0
2023-10,"Murcia, Región de",0.0,77255.0,92297.0,0.0,0.0
2023-10,"Navarra, Comunidad Foral de",0.0,49281.0,57578.0,0.0,0.0
2023-10,País Vasco,52.0,147850.0,165959.0,0.0003517078119715928,0.0003133304008821456
2023-10,"Rioja, La",0.0,13376.0,17950.0,0.0,0.0
2023-11,Andalucía,159.0,284276.0,430273.0,0.0005593155947037386,0.0003695328314814083
2023-11,Aragón,51.0,65023.0,99063.0,0.000784337849683958,0.0005148238999424609
2023-11,"Asturias, Principado de",19.0,32136.0,43210.0,0.0005912372417226786,0.0004397130293913446
2023-11,"Balears, Illes",0.0,24687.0,42050.0,0.0,0.0
2023-11,Canarias,0.0,56034.0,246097.0,0.0,0.0
2023-11,Cantabria,0.0,21886.0,27070.0,0.0,0.0
2023-11,Castilla - La Mancha,22.0,99858.0,161815.0,0.0002203128442388191,0.00013595772950591726
2023-11,Castilla y León,42.0,137176.0,208504.0,0.0003061760074648627,0.00020143498446072977
2023-11,Cataluña,84.0,329662.0,427271.0,0.00025480643810933624,0.000196596539432819
2023-11,Ceuta,0.0,945.0,20998.0,0.0,0.0
2023-11,Comunitat Valenciana,0.0,159425.0,197930.0,0.0,0.0
2023-11,ESPAÑA,1152.0,1832989.0,2675799.0,0.0006284816766494507,0.0004305256112286461
2023-11,Extremadura,0.0,57145.0,72481.0,0.0,0.0
2023-11,Galicia,13.0,107425.0,158457.0,0.00012101466139166861,8.20411846747067e-05
2023-11,"Madrid, Comunidad de",74.0,154413.0,185017.0,0.0004792342613640043,0.0003999632466205808
2023-11,Melilla,0.0,975.0,975.0,0.0,0.0
2023-11,"Murcia, Región de",46.0,82138.0,97039.0,0.0005600331150015827,0.00047403621224456144
2023-11,"Navarra, Comunidad Foral de",60.0,47889.0,56639.0,0.001252897325064211,0.0010593407369480392
2023-11,País Vasco,582.0,159256.0,182747.0,0.003654493394283418,0.0031847308026944354
2023-11,"Rioja, La",0.0,12640.0,18163.0,0.0,0.0
2023-12,Andalucía,85.0,282854.0,427250.0,0.0003005083894871559,0.0001989467524868344
2023-12,Aragón,54.0,63682.0,99530.0,0.0008479633177349957,0.0005425499849291671
2023-12,"Asturias, Principado de",0.0,32820.0,46792.0,0.0,0.0
2023-12,"Balears, Illes",0.0,22347.0,31596.0,0.0,0.0
2023-12,Canarias,0.0,52808.0,242880.0,0.0,0.0
2023-12,Cantabria,19.0,22511.0,29029.0,0.0008440318066722935,0.0006545178958972062
2023-12,Castilla - La Mancha,85.0,101360.0,173726.0,0.0008385951065509077,0.0004892762165709221
2023-12,Castilla y León,45.0,134729.0,218016.0,0.00033400381506579874,0.00020640686922060767
2023-12,Cataluña,100.0,289506.0,377211.0,0.00034541598447009736,0.0002651036157482152
2023-12,Ceuta,0.0,1036.0,21918.0,0.0,0.0
2023-12,Comunitat Valenciana,0.0,161955.0,200976.0,0.0,0.0
2023-12,ESPAÑA,1570.0,1766668.0,2645880.0,0.0008886785745822078,0.0005933753609385158
2023-12,Extremadura,0.0,57587.0,71550.0,0.0,0.0
2023-12,Galicia,32.0,105046.0,171933.0,0.0003046284484892333,0.0001861190114754003
2023-12,"Madrid, Comunidad de",78.0,155230.0,194693.0,0.0005024801906847904,0.00040063073659556326
2023-12,Melilla,0.0,1289.0,1289.0,0.0,0.0
2023-12,"Murcia, Región de",28.0,81843.0,96442.0,0.0003421184462935132,0.0002903299392380913
2023-12,"Navarra, Comunidad Foral de",151.0,44404.0,54526.0,0.0034005945410323394,0.0027693210578439644
2023-12,País Vasco,893.0,143469.0,167883.0,0.006224341146867964,0.005319180619836434
2023-12,"Rioja, La",0.0,12192.0,18640.0,0.0,0.0
2024-01,Andalucía,92.0,275829.0,434227.0,0.0003335399831054748,0.00021187074963095338
2024-01,Aragón,78.0,61256.0,98524.0,0.0012733446519524619,0.0007916852746538914
2024-01,"Asturias, Principado de",0.0,30981.0,46467.0,0.0,0.0
2024-01,"Balears, Illes",0.0,22011.0,38756.0,0.0,0.0
2024-01,Canarias,0.0,56418.0,255155.0,0.0,0.0
2024-01,Cantabria,0.0,22571.0,29442.0,0.0,0.0
2024-01,Castilla - La Mancha,2.0,90379.0,159213.0,2.2129034399583975e-05,1.2561788296181844e-05
2024-01,Castilla y León,19.0,133128.0,205233.0,0.00014271978847425035,9.257770436528239e-05
2024-01,Cataluña,96.0,295021.0,391393.0,0.00032540056470556334,0.00024527776429317846
2024-01,Ceuta,0.0,1025.0,16511.0,0.0,0.0
2024-01,Comunitat Valenciana,15.0,158185.0,202218.0,9.482567879381737e-05,7.417737293416016e-05
2024-01,ESPAÑA,546.0,1751732.0,2651144.0,0.00031169151445540754,0.00020594882812853622
2024-01,Extremadura,0.0,55955.0,69213.0,0.0,0.0
2024-01,Galicia,13.0,100305.0,162062.0,0.00012960470564777428,8.021621354790141e-05
2024-01,"Madrid, Comunidad de",78.0,145384.0,187121.0,0.0005365102074506136,0.00041684257779725417
2024-01,Melilla,0.0,1054.0,462.0,0.0,0.0
2024-01,"Murcia, Región de",9.0,80163.0,95058.0,0.00011227124733355787,9.46790380609733e-05
2024-01,"Navarra, Comunidad Foral de",79.0,73224.0,84869.0,0.0010788812411231291,0.0009308463632186075
2024-01,País Vasco,65.0,135789.0,155899.0,0.00047868384036998577,0.0004169366063926003
2024-01,"Rioja, La",0.0,13054.0,19321.0,0.0,0.0
2024-02,Andalucía,80.0,267574.0,404177.0,0.00029898271132471765,0.00019793308377270355
2024-02,Aragón,208.0,62423.0,94326.0,0.0033321051535491726,0.002205118419099718
2024-02,"Asturias, Principado de",0.0,30307.0,42603.0,0.0,0.0
2024-02,"Balears, Illes",0.0,23592.0,32262.0,0.0,0.0
2024-02,Canarias,0.0,51320.0,236159.0,0.0,0.0
2024-02,Cantabria,169.0,22540.0,28248.0,0.007497781721384206,0.0059827244406683655
2024-02,Castilla - La Mancha,16.0,99280.0,157408.0,0.00016116035455278002,0.00010164667615368977
2024-02,Castilla y León,43.0,132833.0,196430.0,0.00032371473956019966,0.00021890749885455379
2024-02,Cataluña,90.0,294268.0,362317.0,0.0003058436527247271,0.0002484012618784103
2024-02,Ceuta,0.0,973.0,14225.0,0.0,0.0
2024-02,Comunitat Valenciana,43.0,155000.0,192242.0,0.0002774193548387097,0.00022367640786092528
2024-02,ESPAÑA,1131.0,1732081.0,2491110.0,0.0006529717721053461,0.0004540144754747884
2024-02,Extremadura,0.0,55985.0,67671.0,0.0,0.0
2024-02,Galicia,25.0,101166.0,147292.0,0.0002471185971571477,0.000169730874725036
2024-02,"Madrid, Comunidad de",81.0,141903.0,176304.0,0.0005708124563962707,0.0004594337054179145
2024-02,Melilla,0.0,990.0,990.0,0.0,0.0
2024-02,"Murcia, Región de",87.0,76064.0,89078.0,0.0011437736642827092,0.000976672130043333
2024-02,"Navarra, Comunidad Foral de",123.0,52372.0,61680.0,0.0023485832124035743,0.0019941634241245135
2024-02,País Vasco,166.0,150535.0,169464.0,0.0011027335835519978,0.000979559080394656
2024-02,"Rioja, La",0.0,12956.0,18234.0,0.0,0.0
2024-03,Andalucía,104.0,287400.0,422440.0,0.0003618649965205289,0.00024618880787804186
2024-03,Aragón,130.0,64913.0,94079.0,0.0020026805108375825,0.0013818174087734776
2024-03,"Asturias, Principado de",13.0,31634.0,45162.0,0.0004109502434089903,0.0002878526194588371
2024-03,"Balears, Illes",0.0,25695.0,49392.0,0.0,0.0
2024-03,Canarias,0.0,54106.0,260891.0,0.0,0.0
2024-03,Cantabria,119.0,23481.0,29247.0,0.005067927260338146,0.00406879338051766
2024-03,Castilla - La Mancha,14.0,112908.0,165799.0,0.00012399475679314133,8.44395925186521e-05
2024-03,Castilla y León,74.0,136739.0,206053.0,0.0005411769868142958,0.0003591309032142216
2024-03,Cataluña,103.0,294184.0,366548.0,0.000350121012699535,0.0002810000327378679
2024-03,Ceuta,0.0,917.0,7966.0,0.0,0.0
2024-03,Comunitat Valenciana,78.0,170499.0,206836.0,0.00045748068903629933,0.000377110367634261
2024-03,ESPAÑA,1698.0,1815360.0,2613477.0,0.0009353516657852988,0.0006497091805284684
2024-03,Extremadura,19.0,61796.0,75121.0,0.000307463266230824,0.00025292528054738354
2024-03,Galicia,29.0,105784.0,155647.0,0.00027414353777508886,0.0001863190424486177
2024-03,"Madrid, Comunidad de",133.0,149187.0,181240.0,0.0008914985890191504,0.0007338335908188037
2024-03,Melilla,0.0,952.0,952.0,0.0,0.0
2024-03,"Murcia, Región de",249.0,90081.0,104081.0,0.00276417890565158,0.002392367483018034
2024-03,"Navarra, Comunidad Foral de",205.0,48059.0,57376.0,0.004265590212031045,0.0035729224762967096
2024-03,País Vasco,428.0,143666.0,166045.0,0.002979132153745493,0.0025776145020928063
2024-03,"Rioja, La",0.0,13359.0,18602.0,0.0,0.0
2024-04,Andalucía,154.0,300835.0,406293.0,0.0005119085212824306,0.0003790368034891076
2024-04,Aragón,149.0,69796.0,94748.0,0.0021347928248037135,0.0015725925613205556
2024-04,"Asturias, Principado de",117.0,33428.0,45491.0,0.0035000598300825654,0.0025719373062803633
2024-04,"Balears, Illes",0.0,28413.0,39379.0,0.0,0.0
2024-04,Canarias,0.0,56340.0,205302.0,0.0,0.0
2024-04,Cantabria,177.0,24047.0,29840.0,0.007360585520023288,0.005931635388739947
2024-04,Castilla - La Mancha,53.0,109476.0,153112.0,0.0004841243742920823,0.0003461518365640838
2024-04,Castilla y León,109.0,144786.0,209225.0,0.000752835218874753,0.0005209702473413789
2024-04,Cataluña,174.0,287168.0,377536.0,0.0006059170938266102,0.00046088320054246484
2024-04,Ceuta,0.0,1072.0,6949.0,0.0,0.0
2024-04,Comunitat Valenciana,139.0,169257.0,207871.0,0.0008212363447302032,0.0006686839434072092
2024-04,ESPAÑA,2277.0,1862071.0,2548084.0,0.0012228319972761512,0.0008936126124570461
2024-04,Extremadura,13.0,65455.0,80392.0,0.00019860973187686197,0.00016170763260025875
2024-04,Galicia,155.0,109080.0,156714.0,0.001420975430876421,0.0009890628788748932
2024-04,"Madrid, Comunidad de",140.0,155989.0,178479.0,0.000897499182634673,0.0007844060085500255
2024-04,Melilla,0.0,1011.0,1011.0,0.0,0.0
2024-04,"Murcia, Región de",296.0,81574.0,95812.0,0.0036286071542403217,0.0030893833757775642
2024-04,"Navarra, Comunidad Foral de",126.0,54555.0,62486.0,0.002309595820731372,0.0020164516851774797
2024-04,País Vasco,475.0,155538.0,178318.0,0.003053916084815286,0.0026637804371964693
2024-04,"Rioja, La",0.0,14251.0,19126.0,0.0,0.0
2024-05,Andalucía,355.0,311942.0,409757.0,0.0011380320700643068,0.0008663671395485617
2024-05,Aragón,163.0,71095.0,93485.0,0.0022927069414164147,0.001743595229181152
2024-05,"Asturias, Principado de",36.0,32975.0,45209.0,0.0010917361637604245,0.0007963016213585791
2024-05,"Balears, Illes",0.0,33259.0,61537.0,0.0,0.0
2024-05,Canarias,0.0,55656.0,177135.0,0.0,0.0
2024-05,Cantabria,351.0,24232.0,30606.0,0.014484978540772532,0.011468339541266418
2024-05,Castilla - La Mancha,158.0,108594.0,143215.0,0.0014549606792272133,0.001103236392835946
2024-05,Castilla y León,148.0,140639.0,195198.0,0.0010523396781831498,0.0007582044898001004
2024-05,Cataluña,184.0,319020.0,381028.0,0.0005767663469374961,0.0004829041435275098
2024-05,Ceuta,0.0,1031.0,8005.0,0.0,0.0
2024-05,Comunitat Valenciana,116.0,178600.0,216109.0,0.0006494960806270997,0.0005367661689240152
