Grupos ECOICOP	Tipo de dato	Periodo	Total
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2012	5,9
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2011	10,2
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2010	10,9
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2009	8,9
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2008	3,9
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2007	7,0
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2006	1,8
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2005	5,1
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2004	4,3
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2003	3,4
02 Bebidas alcohólicas y tabaco	Variación de las medias anuales	2002	""
03 Vestido y calzado	Media anual	2025	106,322
03 Vestido y calzado	Media anual	2024	105,886
03 Vestido y calzado	Media anual	2023	104,960
03 Vestido y calzado	Media anual	2022	102,672
03 Vestido y calzado	Media anual	2021	100,000
03 Vestido y calzado	Media anual	2020	98,992
03 Vestido y calzado	Media anual	2019	98,023
03 Vestido y calzado	Media anual	2018	97,115
03 Vestido y calzado	Media anual	2017	96,290
03 Vestido y calzado	Media anual	2016	95,827
03 Vestido y calzado	Media anual	2015	95,223
03 Vestido y calzado	Media anual	2014	94,913
03 Vestido y calzado	Media anual	2013	94,808
03 Vestido y calzado	Media anual	2012	94,768
03 Vestido y calzado	Media anual	2011	94,515
03 Vestido y calzado	Media anual	2010	94,257
03 Vestido y calzado	Media anual	2009	94,553
03 Vestido y calzado	Media anual	2008	96,147
03 Vestido y calzado	Media anual	2007	95,504
03 Vestido y calzado	Media anual	2006	94,495
03 Vestido y calzado	Media anual	2005	93,323
03 Vestido y calzado	Media anual	2004	92,066
03 Vestido y calzado	Media anual	2003	90,421
03 Vestido y calzado	Media anual	2002	87,112
03 Vestido y calzado	Variación de las medias anuales	2025	0,4
03 Vestido y calzado	Variación de las medias anuales	2024	0,9
03 Vestido y calzado	Variación de las medias anuales	2023	2,2
03 Vestido y calzado	Variación de las medias anuales	2022	2,7
03 Vestido y calzado	Variación de las medias anuales	2021	1,0
03 Vestido y calzado	Variación de las medias anuales	2020	1,0
03 Vestido y calzado	Variación de las medias anuales	2019	0,9
03 Vestido y calzado	Variación de las medias anuales	2018	0,9
03 Vestido y calzado	Variación de las medias anuales	2017	0,5
03 Vestido y calzado	Variación de las medias anuales	2016	0,6
03 Vestido y calzado	Variación de las medias anuales	2015	0,3
03 Vestido y calzado	Variación de las medias anuales	2014	0,1
03 Vestido y calzado	Variación de las medias anuales	2013	0,0
03 Vestido y calzado	Variación de las medias anuales	2012	0,3
03 Vestido y calzado	Variación de las medias anuales	2011	0,3
