Sexo	Comunidades y Ciudades Autónomas	Edad	Periodo	Total
Ambos sexos	01 Andalucía	De 20 a 24 años	2023T1	33,65
Ambos sexos	01 Andalucía	De 20 a 24 años	2022T4	33,23
Ambos sexos	01 Andalucía	De 20 a 24 años	2022T3	32,94
Ambos sexos	01 Andalucía	De 20 a 24 años	2022T2	28,88
Ambos sexos	01 Andalucía	De 20 a 24 años	2022T1	33,25
Ambos sexos	01 Andalucía	De 20 a 24 años	2021T4	34,69
Ambos sexos	01 Andalucía	De 20 a 24 años	2021T3	39,02
Ambos sexos	01 Andalucía	De 20 a 24 años	2021T2	43,56
Ambos sexos	01 Andalucía	De 20 a 24 años	2021T1	50,10
Ambos sexos	01 Andalucía	De 25 a 54 años	2023T4	15,86
Ambos sexos	01 Andalucía	De 25 a 54 años	2023T3	16,36
Ambos sexos	01 Andalucía	De 25 a 54 años	2023T2	15,75
Ambos sexos	01 Andalucía	De 25 a 54 años	2023T1	16,96
Ambos sexos	01 Andalucía	De 25 a 54 años	2022T4	17,93
Ambos sexos	01 Andalucía	De 25 a 54 años	2022T3	17,52
Ambos sexos	01 Andalucía	De 25 a 54 años	2022T2	17,19
Ambos sexos	01 Andalucía	De 25 a 54 años	2022T1	18,13
Ambos sexos	01 Andalucía	De 25 a 54 años	2021T4	18,64
Ambos sexos	01 Andalucía	De 25 a 54 años	2021T3	20,43
Ambos sexos	01 Andalucía	De 25 a 54 años	2021T2	19,98
Ambos sexos	01 Andalucía	De 25 a 54 años	2021T1	21,13
Ambos sexos	01 Andalucía	De 55 y más años	2023T4	16,03
Ambos sexos	01 Andalucía	De 55 y más años	2023T3	18,31
Ambos sexos	01 Andalucía	De 55 y más años	2023T2	18,89
Ambos sexos	01 Andalucía	De 55 y más años	2023T1	17,00
Ambos sexos	01 Andalucía	De 55 y más años	2022T4	17,23
Ambos sexos	01 Andalucía	De 55 y más años	2022T3	18,20
Ambos sexos	01 Andalucía	De 55 y más años	2022T2	19,05
Ambos sexos	01 Andalucía	De 55 y más años	2022T1	18,88
Ambos sexos	01 Andalucía	De 55 y más años	2021T4	19,80
Ambos sexos	01 Andalucía	De 55 y más años	2021T3	22,49
Ambos sexos	01 Andalucía	De 55 y más años	2021T2	18,37
Ambos sexos	01 Andalucía	De 55 y más años	2021T1	18,88
Ambos sexos	02 Aragón	Total	2023T4	7,85
Ambos sexos	02 Aragón	Total	2023T3	7,77
Ambos sexos	02 Aragón	Total	2023T2	8,59
Ambos sexos	02 Aragón	Total	2023T1	8,94
Ambos sexos	02 Aragón	Total	2022T4	9,41
Ambos sexos	02 Aragón	Total	2022T3	9,08
Ambos sexos	02 Aragón	Total	2022T2	8,96
Ambos sexos	02 Aragón	Total	2022T1	10,14
Ambos sexos	02 Aragón	Total	2021T4	9,02
Ambos sexos	02 Aragón	Total	2021T3	8,79
Ambos sexos	02 Aragón	Total	2021T2	10,73
Ambos sexos	02 Aragón	Total	2021T1	12,10
Ambos sexos	02 Aragón	Menores de 25 años	2023T4	21,01
Ambos sexos	02 Aragón	Menores de 25 años	2023T3	20,65
Ambos sexos	02 Aragón	Menores de 25 años	2023T2	27,70
Ambos sexos	02 Aragón	Menores de 25 años	2023T1	19,69
Ambos sexos	02 Aragón	Menores de 25 años	2022T4	20,53
Ambos sexos	02 Aragón	Menores de 25 años	2022T3	28,25
Ambos sexos	02 Aragón	Menores de 25 años	2022T2	27,54
Ambos sexos	02 Aragón	Menores de 25 años	2022T1	19,31
Ambos sexos	02 Aragón	Menores de 25 años	2021T4	19,61
Ambos sexos	02 Aragón	Menores de 25 años	2021T3	24,61
Ambos sexos	02 Aragón	Menores de 25 años	2021T2	21,52
Ambos sexos	02 Aragón	Menores de 25 años	2021T1	34,25
Ambos sexos	02 Aragón	25 y más años	2023T4	6,89
Ambos sexos	02 Aragón	25 y más años	2023T3	6,78
Ambos sexos	02 Aragón	25 y más años	2023T2	7,26
Ambos sexos	02 Aragón	25 y más años	2023T1	8,24
Ambos sexos	02 Aragón	25 y más años	2022T4	8,67
Ambos sexos	02 Aragón	25 y más años	2022T3	7,59
Ambos sexos	02 Aragón	25 y más años	2022T2	7,64
Ambos sexos	02 Aragón	25 y más años	2022T1	9,46
Ambos sexos	02 Aragón	25 y más años	2021T4	8,28
Ambos sexos	02 Aragón	25 y más años	2021T3	7,66
Ambos sexos	02 Aragón	25 y más años	2021T2	10,01
Ambos sexos	02 Aragón	25 y más años	2021T1	10,62
Ambos sexos	02 Aragón	De 16 a 19 años	2023T4	32,58
Ambos sexos	02 Aragón	De 16 a 19 años	2023T3	34,02
Ambos sexos	02 Aragón	De 16 a 19 años	2023T2	54,52
