Target,Model,Scenario,Fecha,Forecast,Selected_Model_Uses_Scenario_Inputs
Nacional,XGBoost,Neutral,2027-05,18530.6,False
Nacional,XGBoost,Neutral,2027-06,18746.0,False
Nacional,XGBoost,Neutral,2027-07,18746.0,False
Nacional,XGBoost,Neutral,2027-08,18746.0,False
Nacional,XGBoost,Neutral,2027-09,18744.7,False
Nacional,XGBoost,Neutral,2027-10,18746.0,False
Nacional,XGBoost,Neutral,2027-11,18746.0,False
Nacional,XGBoost,Neutral,2027-12,18744.7,False
Nacional,XGBoost,Macro_Downturn,2026-01,15823.9,False
Nacional,XGBoost,Macro_Downturn,2026-02,15723.8,False
Nacional,XGBoost,Macro_Downturn,2026-03,16322.5,False
Nacional,XGBoost,Macro_Downturn,2026-04,16750.9,False
Nacional,XGBoost,Macro_Downturn,2026-05,17682.8,False
Nacional,XGBoost,Macro_Downturn,2026-06,17888.4,False
Nacional,XGBoost,Macro_Downturn,2026-07,17919.5,False
Nacional,XGBoost,Macro_Downturn,2026-08,17919.5,False
Nacional,XGBoost,Macro_Downturn,2026-09,17918.3,False
Nacional,XGBoost,Macro_Downturn,2026-10,17929.3,False
Nacional,XGBoost,Macro_Downturn,2026-11,17929.3,False
Nacional,XGBoost,Macro_Downturn,2026-12,17934.8,False
Nacional,XGBoost,Macro_Downturn,2027-01,15823.9,False
Nacional,XGBoost,Macro_Downturn,2027-02,15723.8,False
Nacional,XGBoost,Macro_Downturn,2027-03,16322.5,False
Nacional,XGBoost,Macro_Downturn,2027-04,16750.9,False
Nacional,XGBoost,Macro_Downturn,2027-05,17682.8,False
Nacional,XGBoost,Macro_Downturn,2027-06,17888.4,False
Nacional,XGBoost,Macro_Downturn,2027-07,17919.5,False
Nacional,XGBoost,Macro_Downturn,2027-08,17919.5,False
Nacional,XGBoost,Macro_Downturn,2027-09,17918.3,False
Nacional,XGBoost,Macro_Downturn,2027-10,17929.3,False
Nacional,XGBoost,Macro_Downturn,2027-11,17929.3,False
Nacional,XGBoost,Macro_Downturn,2027-12,17934.8,False
Nacional,XGBoost,Mandate_Delayed,2026-01,16510.4,False
Nacional,XGBoost,Mandate_Delayed,2026-02,16477.6,False
Nacional,XGBoost,Mandate_Delayed,2026-03,17105.0,False
Nacional,XGBoost,Mandate_Delayed,2026-04,17554.0,False
Nacional,XGBoost,Mandate_Delayed,2026-05,18530.6,False
