Fecha,Target,Model,Forecast
2027-04,Madrid,RF+Prices,828.6
2027-05,Madrid,RF+Prices,824.9
2027-06,Madrid,RF+Prices,841.4
2027-07,Madrid,RF+Prices,841.4
2027-08,Madrid,RF+Prices,855.5
2027-09,Madrid,RF+Prices,883.8
2027-10,Madrid,RF+Prices,903.6
2027-11,Madrid,RF+Prices,903.6
2027-12,Madrid,RF+Prices,903.6
2026-01,Madrid,XGB+Prices,793.9
2026-02,Madrid,XGB+Prices,809.3
2026-03,Madrid,XGB+Prices,818.8
2026-04,Madrid,XGB+Prices,796.9
2026-05,Madrid,XGB+Prices,796.9
2026-06,Madrid,XGB+Prices,821.0
2026-07,Madrid,XGB+Prices,825.3
2026-08,Madrid,XGB+Prices,828.6
2026-09,Madrid,XGB+Prices,904.7
2026-10,Madrid,XGB+Prices,912.8
2026-11,Madrid,XGB+Prices,911.5
2026-12,Madrid,XGB+Prices,906.8
2027-01,Madrid,XGB+Prices,793.9
2027-02,Madrid,XGB+Prices,809.3
2027-03,Madrid,XGB+Prices,818.8
2027-04,Madrid,XGB+Prices,796.9
2027-05,Madrid,XGB+Prices,796.9
2027-06,Madrid,XGB+Prices,821.0
2027-07,Madrid,XGB+Prices,825.3
2027-08,Madrid,XGB+Prices,828.6
2027-09,Madrid,XGB+Prices,904.7
2027-10,Madrid,XGB+Prices,912.8
2027-11,Madrid,XGB+Prices,911.5
2027-12,Madrid,XGB+Prices,906.8
2026-01,Cataluña,RF+Prices,1113.0
2026-02,Cataluña,RF+Prices,1113.0
2026-03,Cataluña,RF+Prices,1094.3
2026-04,Cataluña,RF+Prices,1092.4
2026-05,Cataluña,RF+Prices,1092.4
2026-06,Cataluña,RF+Prices,1092.4
2026-07,Cataluña,RF+Prices,1092.4
2026-08,Cataluña,RF+Prices,1092.4
2026-09,Cataluña,RF+Prices,1102.8
2026-10,Cataluña,RF+Prices,1130.8
2026-11,Cataluña,RF+Prices,1130.8
2026-12,Cataluña,RF+Prices,1130.8
2027-01,Cataluña,RF+Prices,1113.0
2027-02,Cataluña,RF+Prices,1113.0
2027-03,Cataluña,RF+Prices,1094.3
2027-04,Cataluña,RF+Prices,1092.4
2027-05,Cataluña,RF+Prices,1092.4
2027-06,Cataluña,RF+Prices,1092.4
2027-07,Cataluña,RF+Prices,1092.4
2027-08,Cataluña,RF+Prices,1092.4
2027-09,Cataluña,RF+Prices,1102.8
2027-10,Cataluña,RF+Prices,1130.8
2027-11,Cataluña,RF+Prices,1130.8
2027-12,Cataluña,RF+Prices,1130.8
2026-01,Cataluña,XGB+Prices,1088.3
2026-02,Cataluña,XGB+Prices,1088.3
2026-03,Cataluña,XGB+Prices,1088.3
2026-04,Cataluña,XGB+Prices,1088.3
2026-05,Cataluña,XGB+Prices,1076.1
2026-06,Cataluña,XGB+Prices,1080.4
2026-07,Cataluña,XGB+Prices,1083.3
2026-08,Cataluña,XGB+Prices,1095.5
2026-09,Cataluña,XGB+Prices,930.3
2026-10,Cataluña,XGB+Prices,1095.5
2026-11,Cataluña,XGB+Prices,1095.5
2026-12,Cataluña,XGB+Prices,1095.5
2027-01,Cataluña,XGB+Prices,1088.3
2027-02,Cataluña,XGB+Prices,1088.3
2027-03,Cataluña,XGB+Prices,1088.3
2027-04,Cataluña,XGB+Prices,1088.3
