Fecha,Serie,Scenario,Forecast_Tm
2026-10,Andalucía,Optimistic,2864.2
2026-11,Andalucía,Optimistic,2819.3
2026-12,Andalucía,Optimistic,2805.0
2027-01,Andalucía,Optimistic,2838.8
2027-02,Andalucía,Optimistic,2923.9
2027-03,Andalucía,Optimistic,3048.6
2027-04,Andalucía,Optimistic,3189.9
2027-05,Andalucía,Optimistic,3319.3
2027-06,Andalucía,Optimistic,3410.6
2027-07,Andalucía,Optimistic,3447.1
2027-08,Andalucía,Optimistic,3426.2
2027-09,Andalucía,Optimistic,3359.9
2027-10,Andalucía,Optimistic,3271.7
2027-11,Andalucía,Optimistic,3190.7
2027-12,Andalucía,Optimistic,3143.4
2026-01,Valencia,Conservative,1189.0
2026-02,Valencia,Conservative,1226.2
2026-03,Valencia,Conservative,1274.2
2026-04,Valencia,Conservative,1325.9
2026-05,Valencia,Conservative,1372.5
2026-06,Valencia,Conservative,1406.7
2026-07,Valencia,Conservative,1423.8
2026-08,Valencia,Conservative,1423.5
2026-09,Valencia,Conservative,1410.1
2026-10,Valencia,Conservative,1390.8
2026-11,Valencia,Conservative,1374.4
2026-12,Valencia,Conservative,1368.4
2027-01,Valencia,Conservative,1377.4
2027-02,Valencia,Conservative,1401.9
2027-03,Valencia,Conservative,1437.9
2027-04,Valencia,Conservative,1478.0
2027-05,Valencia,Conservative,1513.7
2027-06,Valencia,Conservative,1537.5
2027-07,Valencia,Conservative,1544.8
2027-08,Valencia,Conservative,1535.4
2027-09,Valencia,Conservative,1513.4
2027-10,Valencia,Conservative,1486.1
2027-11,Valencia,Conservative,1462.1
2027-12,Valencia,Conservative,1449.1
2026-01,Valencia,Central,1212.4
2026-02,Valencia,Central,1271.5
2026-03,Valencia,Central,1340.3
2026-04,Valencia,Central,1411.5
2026-05,Valencia,Central,1476.5
2026-06,Valencia,Central,1527.8
2026-07,Valencia,Central,1560.8
2026-08,Valencia,Central,1575.5
2026-09,Valencia,Central,1575.9
2026-10,Valencia,Central,1569.5
2026-11,Valencia,Central,1564.9
2026-12,Valencia,Central,1569.9
2027-01,Valencia,Central,1589.2
2027-02,Valencia,Central,1623.0
2027-03,Valencia,Central,1667.6
2027-04,Valencia,Central,1715.7
2027-05,Valencia,Central,1758.8
2027-06,Valencia,Central,1789.3
2027-07,Valencia,Central,1802.9
2027-08,Valencia,Central,1799.2
2027-09,Valencia,Central,1782.4
2027-10,Valencia,Central,1759.9
2027-11,Valencia,Central,1740.4
2027-12,Valencia,Central,1731.5
2026-01,Valencia,Optimistic,1235.7
2026-02,Valencia,Optimistic,1316.9
2026-03,Valencia,Optimistic,1406.5
2026-04,Valencia,Optimistic,1497.2
2026-05,Valencia,Optimistic,1580.5
2026-06,Valencia,Optimistic,1648.8
2026-07,Valencia,Optimistic,1697.9
2026-08,Valencia,Optimistic,1727.4
2026-09,Valencia,Optimistic,1741.7
2026-10,Valencia,Optimistic,1748.1
