Fecha,Target,Model,Forecast
2027-05,Nacional,Diesel Share,192657.8
2027-06,Nacional,Diesel Share,122746.9
2027-07,Nacional,Diesel Share,319039.3
2027-08,Nacional,Diesel Share,524634.9
2027-09,Nacional,Diesel Share,540870.3
2027-10,Nacional,Diesel Share,576250.2
2027-11,Nacional,Diesel Share,316429.2
2027-12,Nacional,Diesel Share,230670.0
2026-01,Madrid,SARIMA,3106.4
2026-02,Madrid,SARIMA,3234.6
2026-03,Madrid,SARIMA,3361.2
2026-04,Madrid,SARIMA,3478.4
2026-05,Madrid,SARIMA,3588.2
2026-06,Madrid,SARIMA,3691.7
2026-07,Madrid,SARIMA,3780.5
2026-08,Madrid,SARIMA,3848.3
2026-09,Madrid,SARIMA,3923.4
2026-10,Madrid,SARIMA,3987.7
2026-11,Madrid,SARIMA,4055.5
2026-12,Madrid,SARIMA,4109.4
2027-01,Madrid,SARIMA,4161.6
2027-02,Madrid,SARIMA,4209.1
2027-03,Madrid,SARIMA,4252.2
2027-04,Madrid,SARIMA,4291.2
2027-05,Madrid,SARIMA,4326.5
2027-06,Madrid,SARIMA,4358.5
2027-07,Madrid,SARIMA,4387.3
2027-08,Madrid,SARIMA,4413.1
2027-09,Madrid,SARIMA,4436.5
2027-10,Madrid,SARIMA,4457.6
2027-11,Madrid,SARIMA,4476.6
2027-12,Madrid,SARIMA,4493.7
2026-01,Madrid,Logistic,3486.4
2026-02,Madrid,Logistic,3583.4
2026-03,Madrid,Logistic,3682.4
2026-04,Madrid,Logistic,3769.9
2026-05,Madrid,Logistic,3832.9
2026-06,Madrid,Logistic,3863.1
2026-07,Madrid,Logistic,3859.6
2026-08,Madrid,Logistic,3828.7
2026-09,Madrid,Logistic,3783.2
2026-10,Madrid,Logistic,3739.1
2026-11,Madrid,Logistic,3710.9
2026-12,Madrid,Logistic,3708.5
2027-01,Madrid,Logistic,3734.4
2027-02,Madrid,Logistic,3783.1
2027-03,Madrid,Logistic,3842.8
2027-04,Madrid,Logistic,3898.3
2027-05,Madrid,Logistic,3935.5
2027-06,Madrid,Logistic,3945.1
2027-07,Madrid,Logistic,3924.9
2027-08,Madrid,Logistic,3880.7
2027-09,Madrid,Logistic,3824.6
2027-10,Madrid,Logistic,3772.0
2027-11,Madrid,Logistic,3737.0
2027-12,Madrid,Logistic,3729.3
2026-01,Madrid,Gompertz,3378.6
2026-02,Madrid,Gompertz,3480.7
2026-03,Madrid,Gompertz,3590.3
2026-04,Madrid,Gompertz,3692.0
2026-05,Madrid,Gompertz,3770.8
2026-06,Madrid,Gompertz,3816.3
2026-07,Madrid,Gompertz,3825.3
2026-08,Madrid,Gompertz,3803.5
2026-09,Madrid,Gompertz,3763.4
2026-10,Madrid,Gompertz,3721.9
2026-11,Madrid,Gompertz,3695.0
2026-12,Madrid,Gompertz,3694.3
2027-01,Madrid,Gompertz,3723.9
2027-02,Madrid,Gompertz,3779.0
2027-03,Madrid,Gompertz,3847.6
2027-04,Madrid,Gompertz,3913.8
2027-05,Madrid,Gompertz,3961.8
2027-06,Madrid,Gompertz,3980.6
2027-07,Madrid,Gompertz,3966.6
2027-08,Madrid,Gompertz,3924.8
2027-09,Madrid,Gompertz,3867.7
2027-10,Madrid,Gompertz,3811.3
2027-11,Madrid,Gompertz,3771.7
